# koodo word-structure pack v1 (forms) | MorphyNet eng v1, CC BY-SA 3.0, source: English Wiktionary | https://github.com/kbatsuren/MorphyNet
aardvarks	aardvark
aatheists	aatheist
abacinated	abacinate
abacinates	abacinate
abacinating	abacinate
abacists	abacist
abacks	aback
abalienated	abalienate
abalienates	abalienate
abalienating	abalienate
abamperes	abampere
abandonees	abandonee
abandoners	abandoner
abandonings	abandoning
abarticulations	abarticulation
abased	abase
abasers	abaser
abases	abase
abashed	abash
abashes	abash
abashing	abash
abasing	abase
abated	abate
abatees	abatee
abaters	abater
abates	abate
abating	abate
abators	abator
abattoirs	abattoir
abbed	ab
abbeys	abbey
abbing	ab
abbotcies	abbotcy
abbotesses	abbotess
abbotries	abbotry
abbots	abbot
abbotships	abbotship
abbreviated	abbreviate
abbreviaters	abbreviater
abbreviates	abbreviate
abbreviating	abbreviate
abbreviators	abbreviator
abcoulombs	abcoulomb
abdicants	abdicant
abdicated	abdicate
abdicates	abdicate
abdicating	abdicate
abdicatives	abdicative
abdicators	abdicator
abdominals	abdominal
abdominohysterectomies	abdominohysterectomy
abdominohysterotomies	abdominohysterotomy
abdominouterotomies	abdominouterotomy
abduced	abduce
abduces	abduce
abducing	abduce
abductees	abductee
abductors	abductor
abearing	abear
abearings	abearing
abears	abear
abecedarians	abecedarian
abecedaries	abecedary
abelianizations	abelianization
abelianized	abelianize
abelianizes	abelianize
abelianizing	abelianize
abelites	Abelite
aberrants	aberrant
aberrated	aberrate
aberrates	aberrate
aberrating	aberrate
aberuncators	aberuncator
abets	abet
abettals	abettal
abetted	abet
abettees	abettee
abetters	abetter
abetting	abet
abettors	abettor
abfarads	abfarad
abhorrations	abhorration
abhorred	abhor
abhorrencies	abhorrency
abhorrers	abhorrer
abhorring	abhor
abhors	abhor
abidances	abidance
abiders	abider
abides	abide
abiding	abide
abidings	abiding
abiences	abience
abietenes	abietene
abietins	abietin
abigails	abigail
abiogenesists	abiogenesist
abiogenists	abiogenist
abiosestons	abioseston
abiotrophies	abiotrophy
abirritated	abirritate
abirritates	abirritate
abirritating	abirritate
abirritations	abirritation
abit	abite
abites	abite
abiting	abite
abitten	abite
abjads	abjad
abjected	abject
abjectified	abjectify
abjectifies	abjectify
abjectifying	abjectify
abjecting	abject
abjectnesses	abjectness
abjects	abject
abjudged	abjudge
abjudges	abjudge
abjudging	abjudge
abjured	abjure
abjurements	abjurement
abjurers	abjurer
abjures	abjure
abjuring	abjure
ablaqueated	ablaqueate
ablaqueates	ablaqueate
ablaqueating	ablaqueate
ablated	ablate
ablates	ablate
ablating	ablate
ablatives	ablative
ablators	ablator
abled	able
ableists	ableist
abler	able
ables	able
ablest	able
abling	able
abluted	ablute
ablutes	ablute
abluting	ablute
ablutioners	ablutioner
abmhos	abmho
abmigrated	abmigrate
abmigrates	abmigrate
abmigrating	abmigrate
abnegated	abnegate
abnegates	abnegate
abnegating	abnegate
abnegators	abnegator
abnormalised	abnormalise
abnormalises	abnormalise
abnormalising	abnormalise
abnormalized	abnormalize
abnormalizes	abnormalize
abnormalizing	abnormalize
abnormals	abnormal
abnormies	abnormie
abocclusions	abocclusion
abodances	abodance
abode	abide
abodements	abodement
abodes	abode
abodings	aboding
abohms	abohm
abolished	abolish
abolishers	abolisher
abolishes	abolish
abolishing	abolish
abolitiondoms	abolitiondom
abolitionised	abolitionise
abolitionises	abolitionise
abolitionising	abolitionise
abolitionists	abolitionist
abolitionized	abolitionize
abolitionizes	abolitionize
abolitionizing	abolitionize
abolitions	abolition
abominated	abominate
abominates	abominate
abominating	abominate
abominators	abominator
abore	abear
aboriginals	aboriginal
aborn	abear
abortations	abortation
aborted	abort
abortees	abortee
aborters	aborter
abortifacients	abortifacient
aborting	abort
abortionees	abortionee
abortionists	abortionist
abortived	abortive
abortives	abortive
abortiving	abortive
abortments	abortment
abortogenics	abortogenic
aborts	abort
abought	aby
abounders	abounder
aboundings	abounding
aboutnesses	aboutness
abracadabras	abracadabra
abradants	abradant
abraded	abrade
abraders	abrader
abrades	abrade
abrading	abrade
abraided	abraid
abraiding	abraid
abraids	abraid
abranchialisms	abranchialism
abranchiates	abranchiate
abrased	abrase
abrasers	abraser
abrases	abrase
abrasing	abrase
abrasives	abrasive
abreactions	abreaction
abreptions	abreption
abridged	abridge
abridgers	abridger
abridges	abridge
abridging	abridge
abroached	abroach
abroaches	abroach
abroaching	abroach
abrogated	abrogate
abrogates	abrogate
abrogating	abrogate
abrogationists	abrogationist
abrogators	abrogator
abrupted	abrupt
abrupting	abrupt
abruptions	abruption
abrupts	abrupt
abs	ab
abscessations	abscessation
abscessed	abscess
abscesses	abscess
abscessing	abscess
abscisates	abscisate
abscondees	abscondee
abscondences	abscondence
