# koodo word-structure pack v1 (glosses) | OpenRussian (github.com/Badestrand/russian-dictionary), CC BY-SA 4.0
Аарон		Aaron (männl. Vorname)
Ааронов	Aaron	Aarons, Aaron gehörend
Азербайджан		Aserbaidschan
Акакий		Akaki (männl. Vorname)
Албания		Albanien
Алжир	Algeria	Algerien, Algier
Алтай		der Altai
Альпы		die Alpen
Алёнка		zottiger Käfer
Амазонка	Amazon, horsewoman, riding-habit	der Amazonas
Амстердам		Amsterdam
Амур	The Amur River / Cupid, the god of desire	Amur / der Gott Armor
Англия	England	England
Ангола		Angola
Антарктика	the Antarctic, the antarctic regions	die Antarktis
Арбат		Arbat (Strasse in Moskau)
Аргентина	Argentina	Argentinien
Арктика	the Arctic, the Arctic regions	die Arktis
Архангельск		Archangelsk
Ассирия		Assyrien
Афины		Athen
Аэрофлот	Air Fleet	Aeroflot
Байкал		der Baikalsee, der Baikal
Берлин	Berlin	Berlin
Блок	bloc, pulley, block, prefabricated building unit	Block
Богородица	the Virgin, Our Lady	Mutter Gottes
Бразилия	Brazil	Brasilien
Британия	Britania	Britanien
Брюссель		Brüssel
Будда		Buddha
Бутан	butane	Butan
Бутырский		aus Butyrskij
Бухара		Buchara (Ortsname)
Вавилон		Wawilon (Ortsname)
Варшава	Warsaw	Warschau
Васькин		Waskin (Herr W.)
Вашингтон		Washington
Вена	vein	Wien
Венгрия	Hungary	Ungarn
Византия		Byzanz
Волга	Volga river	die Wolga
Вологда	Vologda	Wologda (Ortsname)
Воля	will	Wille
Выборг		Wyborg
Вьетнам		Vietnam
Вятка		Wjatkaroggen, Winterroggen
ГАЗ	gas, wind, gauze, gossamer	Gas, Blähungen
Гала	gala	Gala
Гамбург		Hamburg
Германия	Germany	Deutschland
Гималаи		der Himalaja
Гоголь	golden-eye	Schellente, Tauchente
Голландия		Holland
Голливуд		Hollywood
Горький	bitter, miserable	bitter
Гренландия		Grönland
Грузия	Georgia	Georgien
Дина	dyne	Dyn
Дон	don	der Don
Дора		flacher Kahn mit breitem Heck
Дроздовский		Drosdowo-, └ aus / von┘ Drosdowo, auf Drosdowo bezogen
Дюймовочка		Djuimowotschka, Daumesdick, Däumelinchen (Hundename)
Египет	Egypt	Ägypten
Екатеринбург	Yekaterinburg	Jekaterinburg
ЗАГС	registry office	Standesamt
Заполярье		Polarregion
Запорожье		Gebiet hinter den Stromschnellen
Земля	earth, ground, the Earth, land, soil	Erde
Золушка	Cinderella	Aschenputtel
Израиль	Israel	Israel
Ильинична		Eigenname
Индия	India	Indien
Индонезия	Indonesia	Indonesien
Иордания	Jordan, Hashemite Kingdom of Jordan	Jordanien
Ирак		der Irak
Иран	Iran	der Iran
Иркутск		Irkutsk
Ирландия	Ireland	Irland
Исландия	Iceland	Island
Испания	Spain	Spanien
Кавказ	Caucasus	der Kaukasus
Казань		Kasan
Калина	guelder rose, snowball-tree	Schneeballstrauch, Schneeballbeeren
Калининград		Kaliningrad
Калуга		Kaluga, Sibirischer Hausen
Канада	Canada	Kanada
Кант	edging, piping	Kante, Borte, Saum
Карабах		Karabach
Киев	Kiev	Kiew
Кипр		Zypern
Кирилл		Kirill-Tag (nach dem Heiligenkalender / Bauernkalender)
Китай	China	China
Клин	wedge, field, gore, gusset, quoin	Keil
Колыма		Straflager
Колькин		Kolka gehörend
Константин	Constantine	Konstantin
Константинополь		Konstantinopel
Корея	Korea	Korea
Краснодар		Krasnodar (Ortsname)
Красноярск		Krasnojarsk
Кремль	citadel, the Kremlin	Kreml
Крит		Kreta
Крым	Crimea	die Krim
Кубань		Kuban (Fluss)
Курган	barrow, burial mound, tumulus	Hünengrab, Anhöhe, Hügel
Курск		Kursk
Лавр	laurel, bay	Lorbeer, Lorbeerbaum
Ладога		Ladoga (Ortsname)
Лаос		Laos
Ленин		Lenin
Ленинград	Leningrad	Leningrad
Ливан		der Libanon
Ливия		Libyen
Лиман	estuary, firth, coastal salt lake	Haff, Liman
Липецк		Lipezk
Литва	Lithuania	Litauen
Лондон	London	London
Лубянка		Bastkorb, Basttasche
Лубянский		Lubjansker, Lubjansk-, └ aus / von┘ Lubjansk, auf Lubjans…
Лужица		kleine Pfütze
Любка		weisse Waldhyazinthe
Маврикий		Mauritius
Магадан		Magadan
Македония	Macedonia	Mazedonien, Makedonien
Максим	Maxim	Maxim (schweres Maschinengewehr)
Мали		Mali
Малороссия		Kleinrussland
Мина	mine, mortar shell bomb, countenance, expression, mien	Miene, Mine
Минск	Minsk	Minsk
Михайловский		zwischenethnisch, zwischen verschiedenen Ethnien, Stammes-
Мишка	bear, Teddy bear	Bärchen
Мишкин		Bären-, Teddy-
Молдавия	Moldova	Moldawien, Moldowa
Москва	Moscow	Moskau
Мурманск		Murmansk
Наполеон	Napoleon	Napoleon
Нева	Neva	die Newa
Непал		Nepal
Нидерланды	Netherlands	die Niederlande
